Time,Temperature
2021-06-03-15:55,39.42
2021-06-03-16:10,39.42
2021-06-03-16:25,39.96
2021-06-03-16:40,39.08
2021-06-03-16:55,39.28
2021-06-03-17:10,39.57
2021-06-03-17:25,39.44
2021-06-03-17:40,39.49
2021-06-03-17:55,39.78
2021-06-03-18:10,39.39
2021-06-03-18:25,39.22
2021-06-03-18:40,39.45
2021-06-03-18:55,39.72
2021-06-03-19:10,39.61
2021-06-03-19:25,39.65
2021-06-03-19:40,39.06
2021-06-03-19:55,39.48
2021-06-03-20:10,39.9
2021-06-03-20:25,39.76
2021-06-03-20:40,39.11
2021-06-03-20:55,39.16
2021-06-03-21:10,39.85
2021-06-03-21:25,39.33
2021-06-03-21:40,39.95
2021-06-03-21:55,39.82
2021-06-03-22:10,39.22
2021-06-03-22:25,39.44
2021-06-03-22:40,39.66
2021-06-03-22:55,39.61
2021-06-03-23:10,39.83
2021-06-03-23:25,39.42
2021-06-03-23:40,39.01
2021-06-03-23:55,39.38
2021-06-04-00:10,39.97
2021-06-04-00:25,39.27
2021-06-04-00:40,39.21
2021-06-04-00:55,39.82
2021-06-04-01:10,39.61
2021-06-04-01:25,39.72
2021-06-04-01:40,39.1
2021-06-04-01:55,39.86
2021-06-04-02:10,39.82
2021-06-04-02:25,39.84
2021-06-04-02:40,39.91
2021-06-04-02:55,39.48
2021-06-04-03:10,39.29
2021-06-04-03:25,39.06
2021-06-04-03:40,39.39
2021-06-04-03:55,39.9
2021-06-04-04:10,39.12
2021-06-04-04:25,39.4
2021-06-04-04:40,39.14
2021-06-04-04:55,39.06
2021-06-04-05:10,39.32
2021-06-04-05:25,39.06
2021-06-04-05:40,39.26
2021-06-04-05:55,39.28
2021-06-04-06:10,39.24
2021-06-04-06:25,39.78
2021-06-04-06:40,39.37
2021-06-04-06:55,39.65
2021-06-04-07:10,39.85
2021-06-04-07:25,39.42
2021-06-04-07:40,39.4
2021-06-04-07:55,39.19
2021-06-04-08:10,39.86
2021-06-04-08:25,39.53
2021-06-04-08:40,39.51
2021-06-04-08:55,39.03
2021-06-04-09:10,39.11
2021-06-04-09:25,39.37
2021-06-04-09:40,39.02
2021-06-04-09:55,39.89
2021-06-04-10:10,39.96
2021-06-04-10:25,39.96
2021-06-04-10:40,39.72
2021-06-04-10:55,39.91
2021-06-04-11:10,39.28
2021-06-04-11:25,39.81
2021-06-04-11:40,39.68
2021-06-04-11:55,39.85
2021-06-04-12:10,39.96
2021-06-04-12:25,39.75
2021-06-04-12:40,39.24
2021-06-04-12:55,39.91
2021-06-04-13:10,40.0
2021-06-04-13:25,39.39
2021-06-04-13:40,39.32
2021-06-04-13:55,39.71
2021-06-04-14:10,39.25
2021-06-04-14:25,39.06
2021-06-04-14:40,39.85
2021-06-04-14:55,39.73
2021-06-04-15:10,40.0
2021-06-04-15:25,39.13
2021-06-04-15:40,39.91
2021-06-04-15:55,39.08
2021-06-04-16:10,39.24
2021-06-04-16:25,39.3
2021-06-04-16:40,39.93
2021-06-04-16:55,39.63
2021-06-04-17:10,39.02
2021-06-04-17:25,39.02
2021-06-04-17:40,39.29
2021-06-04-17:55,39.18
2021-06-04-18:10,39.75
2021-06-04-18:25,39.62
2021-06-04-18:40,39.68
2021-06-04-18:55,39.04
2021-06-04-19:10,39.02
2021-06-04-19:25,39.49
2021-06-04-19:40,39.54
2021-06-04-19:55,39.19
2021-06-04-20:10,39.58
2021-06-04-20:25,39.78
2021-06-04-20:40,39.9
2021-06-04-20:55,39.77
2021-06-04-21:10,39.17
2021-06-04-21:25,39.83
2021-06-04-21:40,40.0
2021-06-04-21:55,39.55
2021-06-04-22:10,39.95
2021-06-04-22:25,39.81
2021-06-04-22:40,39.9
2021-06-04-22:55,39.2
2021-06-04-23:10,39.99
2021-06-04-23:25,39.43
2021-06-04-23:40,39.91
2021-06-04-23:55,39.24
2021-06-05-00:10,39.15
2021-06-05-00:25,39.06
2021-06-05-00:40,39.94
2021-06-05-00:55,39.75
2021-06-05-01:10,39.85
2021-06-05-01:25,39.28
2021-06-05-01:40,39.58
2021-06-05-01:55,39.02
2021-06-05-02:10,39.43
2021-06-05-02:25,39.08
2021-06-05-02:40,40.0
2021-06-05-02:55,39.38
2021-06-05-03:10,39.81
2021-06-05-03:25,39.1
2021-06-05-03:40,39.65
2021-06-05-03:55,40.0
2021-06-05-04:10,39.02
2021-06-05-04:25,39.18
2021-06-05-04:40,39.58
2021-06-05-04:55,39.09
2021-06-05-05:10,39.58
2021-06-05-05:25,39.59
2021-06-05-05:40,39.1
2021-06-05-05:55,39.3
2021-06-05-06:10,39.6
2021-06-05-06:25,39.99
2021-06-05-06:40,39.39
2021-06-05-06:55,39.41
2021-06-05-07:10,39.79
2021-06-05-07:25,39.11
2021-06-05-07:40,39.31
2021-06-05-07:55,39.03
2021-06-05-08:10,39.1
2021-06-05-08:25,39.22
2021-06-05-08:40,39.23
2021-06-05-08:55,39.34
2021-06-05-09:10,39.66
2021-06-05-09:25,39.06
2021-06-05-09:40,39.98
2021-06-05-09:55,39.41
2021-06-05-10:10,39.0
2021-06-05-10:25,39.65
2021-06-05-10:40,39.91
2021-06-05-10:55,39.39
2021-06-05-11:10,39.33
2021-06-05-11:25,39.76
2021-06-05-11:40,39.18
2021-06-05-11:55,39.65
2021-06-05-12:10,39.95
2021-06-05-12:25,39.45
2021-06-05-12:40,39.56
2021-06-05-12:55,39.38
2021-06-05-13:10,39.96
2021-06-05-13:25,39.72
2021-06-05-13:40,39.89
2021-06-05-13:55,39.6
2021-06-05-14:10,39.04
2021-06-05-14:25,39.57
2021-06-05-14:40,39.11
2021-06-05-14:55,39.36
2021-06-05-15:10,39.4
2021-06-05-15:25,39.31
2021-06-05-15:40,39.68
2021-06-05-15:55,39.7
2021-06-05-16:10,40.0
2021-06-05-16:25,39.42
2021-06-05-16:40,39.7
2021-06-05-16:55,39.08
2021-06-05-17:10,40.0
2021-06-05-17:25,39.55
2021-06-05-17:40,39.78
2021-06-05-17:55,39.77
2021-06-05-18:10,39.02
2021-06-05-18:25,39.05
2021-06-05-18:40,39.19
2021-06-05-18:55,39.31
2021-06-05-19:10,39.83
2021-06-05-19:25,39.24
2021-06-05-19:40,39.94
2021-06-05-19:55,39.17
2021-06-05-20:10,39.75
2021-06-05-20:25,39.02
2021-06-05-20:40,39.44
2021-06-05-20:55,39.74
2021-06-05-21:10,39.66
2021-06-05-21:25,39.21
2021-06-05-21:40,39.97
2021-06-05-21:55,39.23
2021-06-05-22:10,39.33
2021-06-05-22:25,39.67
2021-06-05-22:40,39.86
2021-06-05-22:55,39.97
2021-06-05-23:10,39.97
2021-06-05-23:25,39.94
2021-06-05-23:40,39.78
2021-06-05-23:55,39.71
2021-06-06-00:10,39.28
2021-06-06-00:25,39.44
2021-06-06-00:40,39.83
2021-06-06-00:55,39.29
2021-06-06-01:10,39.69
2021-06-06-01:25,39.22
2021-06-06-01:40,39.13
2021-06-06-01:55,39.22
2021-06-06-02:10,39.97
2021-06-06-02:25,39.61
2021-06-06-02:40,39.29
2021-06-06-02:55,39.91
2021-06-06-03:10,39.11
2021-06-06-03:25,39.92
2021-06-06-03:40,39.88
2021-06-06-03:55,39.96
2021-06-06-04:10,39.06
2021-06-06-04:25,39.11
2021-06-06-04:40,39.63
2021-06-06-04:55,39.09
2021-06-06-05:10,39.32
2021-06-06-05:25,39.21
2021-06-06-05:40,39.99
2021-06-06-05:55,39.08
2021-06-06-06:10,39.58
2021-06-06-06:25,39.32
2021-06-06-06:40,39.34
2021-06-06-06:55,39.68
2021-06-06-07:10,39.41
2021-06-06-07:25,39.65
2021-06-06-07:40,39.57
2021-06-06-07:55,39.67
2021-06-06-08:10,39.6
2021-06-06-08:25,39.88
2021-06-06-08:40,39.23
2021-06-06-08:55,39.92
2021-06-06-09:10,39.25
2021-06-06-09:25,39.74
2021-06-06-09:40,39.91
2021-06-06-09:55,39.95
2021-06-06-10:10,39.43
2021-06-06-10:25,39.14
2021-06-06-10:40,39.48
2021-06-06-10:55,39.32
2021-06-06-11:10,39.24
2021-06-06-11:25,39.63
2021-06-06-11:40,39.82
2021-06-06-11:55,39.12
2021-06-06-12:10,39.42
2021-06-06-12:25,39.02
2021-06-06-12:40,39.71
2021-06-06-12:55,39.82
2021-06-06-13:10,39.31
2021-06-06-13:25,39.5
2021-06-06-13:40,39.01
2021-06-06-13:55,39.6
2021-06-06-14:10,39.42
2021-06-06-14:25,39.87
2021-06-06-14:40,39.93
2021-06-06-14:55,39.99
2021-06-06-15:10,39.26
2021-06-06-15:25,39.17
2021-06-06-15:40,39.99
2021-06-06-15:55,39.11
2021-06-06-16:10,39.83
2021-06-06-16:25,39.73
2021-06-06-16:40,39.29
2021-06-06-16:55,39.02
2021-06-06-17:10,39.3
2021-06-06-17:25,39.31
2021-06-06-17:40,39.05
2021-06-06-17:55,39.64
2021-06-06-18:10,39.03
2021-06-06-18:25,39.09
2021-06-06-18:40,39.89
2021-06-06-18:55,39.44
2021-06-06-19:10,39.12
2021-06-06-19:25,39.79
2021-06-06-19:40,39.91
2021-06-06-19:55,39.39
2021-06-06-20:10,39.57
2021-06-06-20:25,39.23
2021-06-06-20:40,39.28
2021-06-06-20:55,39.05
2021-06-06-21:10,39.52
2021-06-06-21:25,39.6
2021-06-06-21:40,39.09
2021-06-06-21:55,39.46
2021-06-06-22:10,39.13
2021-06-06-22:25,39.69
2021-06-06-22:40,39.94
2021-06-06-22:55,39.27
2021-06-06-23:10,39.61
2021-06-06-23:25,39.84
2021-06-06-23:40,39.92
2021-06-06-23:55,39.36
2021-06-07-00:10,39.83
2021-06-07-00:25,39.11
2021-06-07-00:40,39.25
2021-06-07-00:55,39.41
2021-06-07-01:10,39.35
2021-06-07-01:25,39.67
2021-06-07-01:40,39.53
2021-06-07-01:55,39.5
2021-06-07-02:10,39.64
2021-06-07-02:25,39.18
2021-06-07-02:40,39.26
2021-06-07-02:55,39.94
2021-06-07-03:10,39.58
2021-06-07-03:25,39.59
2021-06-07-03:40,39.99
2021-06-07-03:55,39.98
2021-06-07-04:10,39.47
2021-06-07-04:25,39.42
2021-06-07-04:40,39.44
2021-06-07-04:55,39.76
2021-06-07-05:10,39.72
2021-06-07-05:25,39.02
2021-06-07-05:40,39.17
2021-06-07-05:55,39.37
2021-06-07-06:10,39.42
2021-06-07-06:25,39.24
2021-06-07-06:40,39.38
2021-06-07-06:55,39.49
2021-06-07-07:10,39.58
2021-06-07-07:25,39.42
2021-06-07-07:40,39.25
2021-06-07-07:55,39.88
2021-06-07-08:10,39.45
2021-06-07-08:25,39.37
2021-06-07-08:40,39.41
2021-06-07-08:55,39.51
2021-06-07-09:10,39.57
2021-06-07-09:25,39.23
2021-06-07-09:40,39.25
2021-06-07-09:55,39.39
2021-06-07-10:10,39.13
2021-06-07-10:25,39.38
2021-06-07-10:40,39.78
2021-06-07-10:55,39.2
2021-06-07-11:10,39.5
2021-06-07-11:25,39.94
2021-06-07-11:40,39.98
2021-06-07-11:55,39.84
2021-06-07-12:10,39.38
2021-06-07-12:25,39.49
2021-06-07-12:40,39.97
2021-06-07-12:55,39.91
2021-06-07-13:10,39.35
2021-06-07-13:25,39.37
2021-06-07-13:40,39.46
2021-06-07-13:55,39.1
2021-06-07-14:10,39.42
2021-06-07-14:25,39.02
2021-06-07-14:40,39.85
2021-06-07-14:55,39.15
2021-06-07-15:10,39.66
2021-06-07-15:25,39.2
2021-06-07-15:40,39.79
2021-06-07-15:55,39.64
2021-06-07-16:10,39.56
2021-06-07-16:25,39.1
2021-06-07-16:40,39.12
2021-06-07-16:55,39.83
2021-06-07-17:10,39.72
2021-06-07-17:25,39.6
2021-06-07-17:40,39.93
2021-06-07-17:55,39.91
2021-06-07-18:10,39.92
2021-06-07-18:25,39.94
2021-06-07-18:40,39.4
2021-06-07-18:55,39.21
2021-06-07-19:10,39.39
2021-06-07-19:25,39.54
2021-06-07-19:40,39.96
2021-06-07-19:55,39.14
2021-06-07-20:10,39.98
2021-06-07-20:25,39.07
2021-06-07-20:40,39.55
2021-06-07-20:55,39.26
2021-06-07-21:10,39.15
2021-06-07-21:25,39.5
2021-06-07-21:40,39.0
2021-06-07-21:55,39.39
2021-06-07-22:10,39.82
2021-06-07-22:25,39.61
2021-06-07-22:40,39.56
2021-06-07-22:55,39.56
2021-06-07-23:10,39.5
2021-06-07-23:25,39.94
2021-06-07-23:40,39.98
2021-06-07-23:55,39.63
2021-06-08-00:10,39.96
2021-06-08-00:25,39.24
2021-06-08-00:40,39.1
2021-06-08-00:55,39.72
2021-06-08-01:10,39.72
2021-06-08-01:25,39.56
2021-06-08-01:40,39.6
2021-06-08-01:55,39.89
2021-06-08-02:10,39.55
2021-06-08-02:25,39.84
2021-06-08-02:40,39.75
2021-06-08-02:55,39.03
2021-06-08-03:10,39.19
2021-06-08-03:25,39.91
2021-06-08-03:40,39.26
2021-06-08-03:55,39.05
2021-06-08-04:10,39.04
2021-06-08-04:25,39.16
2021-06-08-04:40,39.14
2021-06-08-04:55,39.52
2021-06-08-05:10,39.99
2021-06-08-05:25,39.75
2021-06-08-05:40,39.33
2021-06-08-05:55,39.21
2021-06-08-06:10,39.68
2021-06-08-06:25,39.43
2021-06-08-06:40,39.11
2021-06-08-06:55,39.65
2021-06-08-07:10,39.72
2021-06-08-07:25,39.2
2021-06-08-07:40,39.43
2021-06-08-07:55,39.31
2021-06-08-08:10,39.23
2021-06-08-08:25,39.61
2021-06-08-08:40,39.28
2021-06-08-08:55,39.05
2021-06-08-09:10,39.28
2021-06-08-09:25,39.56
2021-06-08-09:40,39.36
2021-06-08-09:55,39.44
2021-06-08-10:10,39.91
2021-06-08-10:25,39.32
2021-06-08-10:40,39.19
2021-06-08-10:55,39.78
2021-06-08-11:10,39.74
2021-06-08-11:25,39.8
2021-06-08-11:40,40.0
2021-06-08-11:55,39.63
2021-06-08-12:10,39.62
2021-06-08-12:25,39.06
2021-06-08-12:40,39.4
2021-06-08-12:55,39.16
2021-06-08-13:10,39.55
2021-06-08-13:25,39.36
2021-06-08-13:40,39.18
2021-06-08-13:55,39.65
2021-06-08-14:10,39.4
2021-06-08-14:25,39.83
2021-06-08-14:40,39.57
2021-06-08-14:55,39.51
2021-06-08-15:10,39.17
2021-06-08-15:25,39.8
2021-06-08-15:40,39.62
2021-06-08-15:55,39.07
2021-06-08-16:10,39.13
2021-06-08-16:25,39.97
2021-06-08-16:40,39.1
2021-06-08-16:55,39.95
2021-06-08-17:10,39.1
2021-06-08-17:25,39.83
2021-06-08-17:40,40.0
2021-06-08-17:55,39.91
2021-06-08-18:10,39.76
2021-06-08-18:25,39.02
2021-06-08-18:40,39.07
2021-06-08-18:55,39.71
2021-06-08-19:10,39.8
2021-06-08-19:25,39.5
2021-06-08-19:40,39.94
2021-06-08-19:55,39.89
2021-06-08-20:10,39.63
2021-06-08-20:25,39.98
2021-06-08-20:40,39.64
2021-06-08-20:55,39.32
2021-06-08-21:10,39.21
2021-06-08-21:25,39.47
2021-06-08-21:40,39.37
2021-06-08-21:55,39.01
2021-06-08-22:10,39.25
2021-06-08-22:25,39.66
2021-06-08-22:40,39.36
2021-06-08-22:55,39.96
2021-06-08-23:10,39.25
2021-06-08-23:25,39.83
2021-06-08-23:40,39.2
2021-06-08-23:55,39.48
2021-06-09-00:10,39.09
2021-06-09-00:25,39.27
2021-06-09-00:40,39.72
2021-06-09-00:55,39.1
2021-06-09-01:10,39.6
2021-06-09-01:25,39.69
2021-06-09-01:40,39.66
2021-06-09-01:55,39.31
2021-06-09-02:10,39.96
2021-06-09-02:25,39.24
2021-06-09-02:40,39.37
2021-06-09-02:55,39.6
2021-06-09-03:10,39.17
2021-06-09-03:25,39.66
2021-06-09-03:40,39.64
2021-06-09-03:55,39.45
2021-06-09-04:10,39.76
2021-06-09-04:25,39.86
2021-06-09-04:40,39.41
2021-06-09-04:55,39.86
2021-06-09-05:10,39.57
2021-06-09-05:25,39.66
2021-06-09-05:40,39.07
2021-06-09-05:55,39.77
2021-06-09-06:10,39.63
2021-06-09-06:25,39.3
2021-06-09-06:40,39.58
2021-06-09-06:55,39.64
2021-06-09-07:10,39.61
2021-06-09-07:25,39.93
2021-06-09-07:40,39.01
2021-06-09-07:55,39.62
2021-06-09-08:10,39.19
2021-06-09-08:25,39.39
2021-06-09-08:40,39.69
2021-06-09-08:55,39.27
2021-06-09-09:10,39.16
2021-06-09-09:25,39.2
2021-06-09-09:40,39.63
2021-06-09-09:55,39.32
2021-06-09-10:10,39.2
2021-06-09-10:25,39.53
2021-06-09-10:40,39.47
2021-06-09-10:55,39.92
2021-06-09-11:10,39.5
2021-06-09-11:25,39.86
2021-06-09-11:40,39.81
2021-06-09-11:55,39.71
2021-06-09-12:10,39.68
2021-06-09-12:25,39.56
2021-06-09-12:40,39.29
2021-06-09-12:55,39.22
2021-06-09-13:10,39.42
2021-06-09-13:25,39.75
2021-06-09-13:40,39.41
2021-06-09-13:55,39.06
2021-06-09-14:10,39.45
2021-06-09-14:25,39.97
2021-06-09-14:40,39.46
2021-06-09-14:55,39.36
2021-06-09-15:10,39.01
2021-06-09-15:25,39.05
2021-06-09-15:40,39.46
2021-06-09-15:55,39.05
2021-06-09-16:10,39.23
2021-06-09-16:25,39.91
2021-06-09-16:40,39.61
2021-06-09-16:55,39.07
2021-06-09-17:10,39.63
2021-06-09-17:25,39.59
2021-06-09-17:40,39.68
2021-06-09-17:55,39.57
2021-06-09-18:10,39.56
2021-06-09-18:25,39.97
2021-06-09-18:40,39.86
2021-06-09-18:55,39.52
2021-06-09-19:10,39.87
2021-06-09-19:25,39.52
2021-06-09-19:40,39.5
2021-06-09-19:55,39.53
2021-06-09-20:10,39.39
2021-06-09-20:25,39.01
2021-06-09-20:40,39.19
2021-06-09-20:55,39.97
2021-06-09-21:10,39.28
2021-06-09-21:25,39.12
2021-06-09-21:40,39.32
2021-06-09-21:55,39.84
2021-06-09-22:10,39.6
2021-06-09-22:25,39.82
2021-06-09-22:40,39.34
2021-06-09-22:55,39.64
2021-06-09-23:10,39.42
2021-06-09-23:25,39.68
2021-06-09-23:40,39.34
2021-06-09-23:55,39.1
2021-06-10-00:10,39.69
2021-06-10-00:25,39.6
2021-06-10-00:40,39.88
2021-06-10-00:55,39.31
2021-06-10-01:10,39.78
2021-06-10-01:25,39.92
2021-06-10-01:40,39.57
2021-06-10-01:55,39.96
2021-06-10-02:10,39.58
2021-06-10-02:25,39.63
2021-06-10-02:40,39.97
2021-06-10-02:55,39.14
2021-06-10-03:10,39.04
2021-06-10-03:25,39.78
2021-06-10-03:40,39.25
2021-06-10-03:55,39.84
2021-06-10-04:10,39.1
2021-06-10-04:25,39.52
2021-06-10-04:40,39.77
2021-06-10-04:55,39.65
2021-06-10-05:10,39.16
2021-06-10-05:25,39.01
2021-06-10-05:40,39.14
2021-06-10-05:55,39.36
2021-06-10-06:10,39.54
2021-06-10-06:25,39.58
2021-06-10-06:40,39.87
2021-06-10-06:55,39.05
2021-06-10-07:10,39.86
2021-06-10-07:25,39.77
2021-06-10-07:40,39.33
2021-06-10-07:55,39.49
2021-06-10-08:10,39.9
2021-06-10-08:25,39.8
2021-06-10-08:40,39.04
2021-06-10-08:55,39.04
2021-06-10-09:10,39.78
2021-06-10-09:25,39.37
2021-06-10-09:40,39.64
2021-06-10-09:55,39.51
2021-06-10-10:10,39.48
2021-06-10-10:25,39.95
2021-06-10-10:40,39.54
2021-06-10-10:55,39.88
2021-06-10-11:10,39.78
2021-06-10-11:25,39.3
2021-06-10-11:40,39.61
2021-06-10-11:55,39.04
2021-06-10-12:10,39.34
2021-06-10-12:25,39.24
2021-06-10-12:40,39.25
2021-06-10-12:55,39.82
2021-06-10-13:10,39.4
2021-06-10-13:25,39.24
2021-06-10-13:40,39.51
2021-06-10-13:55,39.58
2021-06-10-14:10,39.73
2021-06-10-14:25,39.22
2021-06-10-14:40,39.35
2021-06-10-14:55,39.22
2021-06-10-15:10,39.44
2021-06-10-15:25,39.92
2021-06-10-15:40,39.22
2021-06-10-15:55,39.79
2021-06-10-16:10,39.34
2021-06-10-16:25,39.76
2021-06-10-16:40,39.74
2021-06-10-16:55,39.18
