Time,Humditiy
2022-10-03-11:55,43.23
2022-10-03-12:10,52.23
2022-10-03-12:25,48.25
2022-10-03-12:40,48.31
2022-10-03-12:55,51.61
2022-10-03-13:10,51.13
2022-10-03-13:25,52.92
2022-10-03-13:40,47.82
2022-10-03-13:55,42.72
2022-10-03-14:10,44.83
2022-10-03-14:25,42.02
2022-10-03-14:40,40.89
2022-10-03-14:55,50.86
2022-10-03-15:10,48.5
2022-10-03-15:25,42.36
2022-10-03-15:40,50.67
2022-10-03-15:55,48.28
2022-10-03-16:10,50.56
2022-10-03-16:25,48.4
2022-10-03-16:40,53.59
2022-10-03-16:55,52.84
2022-10-03-17:10,46.37
2022-10-03-17:25,50.39
2022-10-03-17:41,51.62
2022-10-03-17:56,50.67
2022-10-03-18:11,49.85
2022-10-03-18:26,42.06
2022-10-03-18:41,49.7
2022-10-03-18:56,43.51
2022-10-03-19:11,53.38
2022-10-03-19:26,44.24
2022-10-03-19:41,40.1
2022-10-03-19:56,41.73
2022-10-03-20:11,52.71
2022-10-03-20:26,45.81
2022-10-03-20:41,43.73
2022-10-03-20:56,48.25
2022-10-03-21:11,42.0
2022-10-03-21:27,46.74
2022-10-03-21:42,53.03
2022-10-03-21:57,49.3
2022-10-03-22:12,53.72
2022-10-03-22:27,40.77
2022-10-03-22:42,47.9
2022-10-03-22:57,47.14
2022-10-03-23:12,44.03
2022-10-03-23:27,45.96
2022-10-03-23:42,51.99
2022-10-03-23:57,41.83
2022-10-04-0:7,48.4
2022-10-04-0:22,47.65
2022-10-04-0:37,43.06
2022-10-04-0:52,54.15
2022-10-04-1:7,49.98
2022-10-04-1:22,51.98
2022-10-04-1:37,43.9
2022-10-04-1:53,54.39
2022-10-04-2:8,48.87
2022-10-04-2:23,48.74
2022-10-04-2:38,40.66
2022-10-04-2:53,47.3
2022-10-04-3:8,45.56
2022-10-04-3:23,48.89
2022-10-04-3:38,54.06
2022-10-04-3:53,40.47
2022-10-04-4:8,44.33
2022-10-04-4:23,43.89
2022-10-04-4:38,45.11
2022-10-04-4:53,46.3
2022-10-04-5:8,45.29
2022-10-04-5:23,42.1
2022-10-04-5:38,48.03
2022-10-04-5:53,51.39
2022-10-04-6:8,54.46
2022-10-04-6:23,52.27
2022-10-04-6:38,53.29
2022-10-04-6:53,46.47
2022-10-04-7:8,41.22
2022-10-04-7:24,48.66
2022-10-04-7:39,43.1
2022-10-04-7:54,47.54
2022-10-04-8:9,44.32
2022-10-04-8:24,54.81
2022-10-04-8:39,40.12
2022-10-04-8:54,49.6
2022-10-04-9:9,53.05
2022-10-04-9:24,54.61
2022-10-04-9:39,48.15
2022-10-04-9:54,50.46
2022-10-04-10:9,44.64
2022-10-04-10:24,44.96
2022-10-04-10:39,51.96
2022-10-04-10:54,43.89
2022-10-04-11:9,53.54
2022-10-04-11:24,47.72
2022-10-04-11:39,53.82
2022-10-04-11:55,45.85
2022-10-04-12:10,41.5
2022-10-04-12:25,42.63
2022-10-04-12:40,49.98
2022-10-04-12:55,43.36
2022-10-04-13:10,46.81
2022-10-04-13:25,51.87
2022-10-04-13:40,43.01
2022-10-04-13:55,46.82
2022-10-04-14:10,42.96
2022-10-04-14:25,44.64
2022-10-04-14:40,45.68
2022-10-04-14:55,46.93
2022-10-04-15:10,42.96
2022-10-04-15:25,50.91
2022-10-04-15:40,45.36
2022-10-04-15:55,47.29
2022-10-04-16:10,43.26
2022-10-04-16:25,43.45
2022-10-04-16:40,45.41
2022-10-04-16:55,45.26
2022-10-04-17:10,44.26
2022-10-04-17:25,54.24
2022-10-04-17:41,52.56
2022-10-04-17:56,51.16
2022-10-04-18:11,54.38
2022-10-04-18:26,41.15
2022-10-04-18:41,44.55
2022-10-04-18:56,52.8
2022-10-04-19:11,53.93
2022-10-04-19:26,49.79
2022-10-04-19:41,52.18
2022-10-04-19:56,54.23
2022-10-04-20:11,47.32
2022-10-04-20:26,42.78
2022-10-04-20:41,48.57
2022-10-04-20:56,49.41
2022-10-04-21:11,50.46
2022-10-04-21:27,51.62
2022-10-04-21:42,44.64
2022-10-04-21:57,46.71
2022-10-04-22:12,52.22
2022-10-04-22:27,43.02
2022-10-04-22:42,47.82
2022-10-04-22:57,49.4
2022-10-04-23:12,54.1
2022-10-04-23:27,44.92
2022-10-04-23:42,42.55
2022-10-04-23:57,53.84
2022-10-05-0:7,42.06
2022-10-05-0:22,40.98
2022-10-05-0:37,42.72
2022-10-05-0:52,40.09
2022-10-05-1:7,49.26
2022-10-05-1:22,52.85
2022-10-05-1:37,46.03
2022-10-05-1:53,40.26
2022-10-05-2:8,45.64
2022-10-05-2:23,40.7
2022-10-05-2:38,49.58
2022-10-05-2:53,44.55
2022-10-05-3:8,50.63
2022-10-05-3:23,43.5
2022-10-05-3:38,42.34
2022-10-05-3:53,43.57
2022-10-05-4:8,45.48
2022-10-05-4:23,51.36
2022-10-05-4:38,47.08
2022-10-05-4:53,49.03
2022-10-05-5:8,48.38
2022-10-05-5:23,42.84
2022-10-05-5:38,54.73
2022-10-05-5:53,47.3
2022-10-05-6:8,46.33
2022-10-05-6:23,44.5
2022-10-05-6:38,42.01
2022-10-05-6:53,51.71
2022-10-05-7:8,44.94
2022-10-05-7:24,43.56
2022-10-05-7:39,40.22
2022-10-05-7:54,43.37
2022-10-05-8:9,46.14
2022-10-05-8:24,47.94
2022-10-05-8:39,43.61
2022-10-05-8:54,42.03
2022-10-05-9:9,42.2
2022-10-05-9:24,44.12
2022-10-05-9:39,41.28
2022-10-05-9:54,53.49
2022-10-05-10:9,45.27
2022-10-05-10:24,43.71
2022-10-05-10:39,53.02
2022-10-05-10:54,47.24
2022-10-05-11:9,53.91
2022-10-05-11:24,41.39
2022-10-05-11:39,42.63
2022-10-05-11:55,44.83
2022-10-05-12:10,43.46
2022-10-05-12:25,49.18
2022-10-05-12:40,40.98
2022-10-05-12:55,44.65
2022-10-05-13:10,52.97
2022-10-05-13:25,47.05
2022-10-05-13:40,42.28
2022-10-05-13:55,50.78
2022-10-05-14:10,52.24
2022-10-05-14:25,42.89
2022-10-05-14:40,44.16
2022-10-05-14:55,45.29
2022-10-05-15:10,43.06
2022-10-05-15:25,52.72
2022-10-05-15:40,43.42
2022-10-05-15:55,54.68
2022-10-05-16:10,47.7
2022-10-05-16:25,52.67
2022-10-05-16:40,46.36
2022-10-05-16:55,41.46
2022-10-05-17:10,45.62
2022-10-05-17:25,43.1
2022-10-05-17:41,41.46
2022-10-05-17:56,45.94
2022-10-05-18:11,54.14
2022-10-05-18:26,47.71
2022-10-05-18:41,41.44
2022-10-05-18:56,51.9
2022-10-05-19:11,46.65
2022-10-05-19:26,47.24
2022-10-05-19:41,49.35
2022-10-05-19:56,47.42
2022-10-05-20:11,44.86
2022-10-05-20:26,41.13
2022-10-05-20:41,53.27
2022-10-05-20:56,41.17
2022-10-05-21:11,46.98
2022-10-05-21:27,45.14
2022-10-05-21:42,52.94
2022-10-05-21:57,54.78
2022-10-05-22:12,41.93
2022-10-05-22:27,50.83
2022-10-05-22:42,41.88
2022-10-05-22:57,48.29
2022-10-05-23:12,48.77
2022-10-05-23:27,43.04
2022-10-05-23:42,46.75
2022-10-05-23:57,53.06
2022-10-06-0:7,41.01
2022-10-06-0:22,50.94
2022-10-06-0:37,49.0
2022-10-06-0:52,46.53
2022-10-06-1:7,45.1
2022-10-06-1:22,42.08
2022-10-06-1:37,50.06
2022-10-06-1:53,44.43
2022-10-06-2:8,49.64
2022-10-06-2:23,45.51
2022-10-06-2:38,48.13
2022-10-06-2:53,50.98
2022-10-06-3:8,41.23
2022-10-06-3:23,43.42
2022-10-06-3:38,47.7
2022-10-06-3:53,46.08
2022-10-06-4:8,42.63
2022-10-06-4:23,42.77
2022-10-06-4:38,52.12
2022-10-06-4:53,54.87
2022-10-06-5:8,54.74
2022-10-06-5:23,53.18
2022-10-06-5:38,53.87
2022-10-06-5:53,49.12
2022-10-06-6:8,40.98
2022-10-06-6:23,48.14
2022-10-06-6:38,42.76
2022-10-06-6:53,44.95
2022-10-06-7:8,54.08
2022-10-06-7:24,46.83
2022-10-06-7:39,52.28
2022-10-06-7:54,48.58
2022-10-06-8:9,46.42
2022-10-06-8:24,48.94
2022-10-06-8:39,51.88
2022-10-06-8:54,50.96
2022-10-06-9:9,48.13
2022-10-06-9:24,41.4
2022-10-06-9:39,54.75
2022-10-06-9:54,43.96
2022-10-06-10:9,54.69
2022-10-06-10:24,46.3
2022-10-06-10:39,41.46
2022-10-06-10:54,42.54
2022-10-06-11:9,41.57
2022-10-06-11:24,46.78
2022-10-06-11:39,47.95
2022-10-06-11:55,49.98
2022-10-06-12:10,54.91
2022-10-06-12:25,50.48
2022-10-06-12:40,48.0
2022-10-06-12:55,41.02
2022-10-06-13:10,42.85
2022-10-06-13:25,49.74
2022-10-06-13:40,44.7
2022-10-06-13:55,43.22
2022-10-06-14:10,44.79
2022-10-06-14:25,44.67
2022-10-06-14:40,42.69
2022-10-06-14:55,54.38
2022-10-06-15:10,47.16
2022-10-06-15:25,42.59
2022-10-06-15:40,49.93
2022-10-06-15:55,40.37
2022-10-06-16:10,43.73
2022-10-06-16:25,44.59
2022-10-06-16:40,43.69
2022-10-06-16:55,44.04
2022-10-06-17:10,54.66
2022-10-06-17:25,45.6
2022-10-06-17:41,51.96
2022-10-06-17:56,46.39
2022-10-06-18:11,42.25
2022-10-06-18:26,47.93
2022-10-06-18:41,46.18
2022-10-06-18:56,49.34
2022-10-06-19:11,53.13
2022-10-06-19:26,52.81
2022-10-06-19:41,46.99
2022-10-06-19:56,40.99
2022-10-06-20:11,45.14
2022-10-06-20:26,44.67
2022-10-06-20:41,47.93
2022-10-06-20:56,44.38
2022-10-06-21:11,49.35
2022-10-06-21:27,40.51
2022-10-06-21:42,40.95
2022-10-06-21:57,42.62
2022-10-06-22:12,52.92
2022-10-06-22:27,48.58
2022-10-06-22:42,45.0
2022-10-06-22:57,44.94
2022-10-06-23:12,53.98
2022-10-06-23:27,49.43
2022-10-06-23:42,48.31
2022-10-06-23:57,49.27
2022-10-07-0:7,46.46
2022-10-07-0:22,53.11
2022-10-07-0:37,46.47
2022-10-07-0:52,53.54
2022-10-07-1:7,43.58
2022-10-07-1:22,40.01
2022-10-07-1:37,45.55
2022-10-07-1:53,44.91
2022-10-07-2:8,45.32
2022-10-07-2:23,51.04
2022-10-07-2:38,45.67
2022-10-07-2:53,51.94
2022-10-07-3:8,50.23
2022-10-07-3:23,54.7
2022-10-07-3:38,54.52
2022-10-07-3:53,51.95
2022-10-07-4:8,42.7
2022-10-07-4:23,51.73
2022-10-07-4:38,53.76
2022-10-07-4:53,51.43
2022-10-07-5:8,44.79
2022-10-07-5:23,44.31
2022-10-07-5:38,46.94
2022-10-07-5:53,53.32
2022-10-07-6:8,44.47
2022-10-07-6:23,40.74
2022-10-07-6:38,43.36
2022-10-07-6:53,47.76
2022-10-07-7:8,53.78
2022-10-07-7:24,46.92
2022-10-07-7:39,49.74
2022-10-07-7:54,45.12
2022-10-07-8:9,48.99
2022-10-07-8:24,42.49
2022-10-07-8:39,47.24
2022-10-07-8:54,51.48
2022-10-07-9:9,46.01
2022-10-07-9:24,47.84
2022-10-07-9:39,52.53
2022-10-07-9:54,53.91
2022-10-07-10:9,48.83
2022-10-07-10:24,45.65
2022-10-07-10:39,51.19
2022-10-07-10:54,41.01
2022-10-07-11:9,52.09
2022-10-07-11:24,44.89
2022-10-07-11:39,52.61
2022-10-07-11:55,44.27
2022-10-07-12:10,54.44
2022-10-07-12:25,51.92
2022-10-07-12:40,40.12
2022-10-07-12:55,42.64
2022-10-07-13:10,46.44
2022-10-07-13:25,50.8
2022-10-07-13:40,45.15
2022-10-07-13:55,47.8
2022-10-07-14:10,45.48
2022-10-07-14:25,42.52
2022-10-07-14:40,52.38
2022-10-07-14:55,45.09
2022-10-07-15:10,46.61
2022-10-07-15:25,50.29
2022-10-07-15:40,42.27
2022-10-07-15:55,48.92
2022-10-07-16:10,42.72
2022-10-07-16:25,45.2
2022-10-07-16:40,53.7
2022-10-07-16:55,43.02
2022-10-07-17:10,53.37
2022-10-07-17:25,46.09
2022-10-07-17:41,53.6
2022-10-07-17:56,41.68
2022-10-07-18:11,42.27
2022-10-07-18:26,44.86
2022-10-07-18:41,53.63
2022-10-07-18:56,48.4
2022-10-07-19:11,47.37
2022-10-07-19:26,48.08
2022-10-07-19:41,53.63
2022-10-07-19:56,40.36
2022-10-07-20:11,42.8
2022-10-07-20:26,54.36
2022-10-07-20:41,50.05
2022-10-07-20:56,47.21
2022-10-07-21:11,43.14
2022-10-07-21:27,50.07
2022-10-07-21:42,44.06
2022-10-07-21:57,40.77
2022-10-07-22:12,41.33
2022-10-07-22:27,48.57
2022-10-07-22:42,49.21
2022-10-07-22:57,47.61
2022-10-07-23:12,45.14
2022-10-07-23:27,52.02
2022-10-07-23:42,51.75
2022-10-07-23:57,48.54
2022-10-08-0:7,51.08
2022-10-08-0:22,43.3
2022-10-08-0:37,53.11
2022-10-08-0:52,49.55
2022-10-08-1:7,40.96
2022-10-08-1:22,47.98
2022-10-08-1:37,52.44
2022-10-08-1:53,53.11
2022-10-08-2:8,46.62
2022-10-08-2:23,44.0
2022-10-08-2:38,41.85
2022-10-08-2:53,54.61
2022-10-08-3:8,45.68
2022-10-08-3:23,45.73
2022-10-08-3:38,51.89
2022-10-08-3:53,54.99
2022-10-08-4:8,47.49
2022-10-08-4:23,41.66
2022-10-08-4:38,43.25
2022-10-08-4:53,49.88
2022-10-08-5:8,47.33
2022-10-08-5:23,42.07
2022-10-08-5:38,54.22
2022-10-08-5:53,43.92
2022-10-08-6:8,45.09
2022-10-08-6:23,48.58
2022-10-08-6:38,45.8
2022-10-08-6:53,46.72
2022-10-08-7:8,40.5
2022-10-08-7:24,52.62
2022-10-08-7:39,46.9
2022-10-08-7:54,46.44
2022-10-08-8:9,43.8
2022-10-08-8:24,54.38
2022-10-08-8:39,43.25
2022-10-08-8:54,50.31
2022-10-08-9:9,40.66
2022-10-08-9:24,46.19
2022-10-08-9:39,54.12
2022-10-08-9:54,53.51
2022-10-08-10:9,46.23
2022-10-08-10:24,46.15
2022-10-08-10:39,49.29
2022-10-08-10:54,42.27
2022-10-08-11:9,40.91
2022-10-08-11:24,44.56
2022-10-08-11:39,54.87
2022-10-08-11:55,44.15
2022-10-08-12:10,49.89
2022-10-08-12:25,49.34
2022-10-08-12:40,53.14
2022-10-08-12:55,47.88
2022-10-08-13:10,45.97
2022-10-08-13:25,40.8
2022-10-08-13:40,51.55
2022-10-08-13:55,46.54
2022-10-08-14:10,43.22
2022-10-08-14:25,40.42
2022-10-08-14:40,42.56
2022-10-08-14:55,40.92
2022-10-08-15:10,41.85
2022-10-08-15:25,47.58
2022-10-08-15:40,52.77
2022-10-08-15:55,45.64
2022-10-08-16:10,54.41
2022-10-08-16:25,46.15
2022-10-08-16:40,41.4
2022-10-08-16:55,54.71
2022-10-08-17:10,46.31
2022-10-08-17:25,51.78
2022-10-08-17:41,48.12
2022-10-08-17:56,53.15
2022-10-08-18:11,40.61
2022-10-08-18:26,52.03
2022-10-08-18:41,45.07
2022-10-08-18:56,50.01
2022-10-08-19:11,54.0
2022-10-08-19:26,45.92
2022-10-08-19:41,43.33
2022-10-08-19:56,53.35
2022-10-08-20:11,44.66
2022-10-08-20:26,49.26
2022-10-08-20:41,43.31
2022-10-08-20:56,53.74
2022-10-08-21:11,52.04
2022-10-08-21:27,45.69
2022-10-08-21:42,47.86
2022-10-08-21:57,47.58
2022-10-08-22:12,49.02
2022-10-08-22:27,50.96
2022-10-08-22:42,43.9
2022-10-08-22:57,44.29
2022-10-08-23:12,48.63
2022-10-08-23:27,48.23
2022-10-08-23:42,44.9
2022-10-08-23:57,46.61
2022-10-09-0:7,52.92
2022-10-09-0:22,41.92
2022-10-09-0:37,44.6
2022-10-09-0:52,42.28
2022-10-09-1:7,48.31
2022-10-09-1:22,50.76
2022-10-09-1:37,51.42
2022-10-09-1:53,49.74
2022-10-09-2:8,52.32
2022-10-09-2:23,50.91
2022-10-09-2:38,47.53
2022-10-09-2:53,41.87
2022-10-09-3:8,42.88
2022-10-09-3:23,50.37
2022-10-09-3:38,43.13
2022-10-09-3:53,50.24
2022-10-09-4:8,40.63
2022-10-09-4:23,53.76
2022-10-09-4:38,43.06
2022-10-09-4:53,46.34
2022-10-09-5:8,41.33
2022-10-09-5:23,50.19
2022-10-09-5:38,47.13
2022-10-09-5:53,54.34
2022-10-09-6:8,53.72
2022-10-09-6:23,51.12
2022-10-09-6:38,48.63
2022-10-09-6:53,46.87
2022-10-09-7:8,48.56
2022-10-09-7:24,44.85
2022-10-09-7:39,40.61
2022-10-09-7:54,54.84
2022-10-09-8:9,43.37
2022-10-09-8:24,41.29
2022-10-09-8:39,42.25
2022-10-09-8:54,44.61
2022-10-09-9:9,43.05
2022-10-09-9:24,51.68
2022-10-09-9:39,42.45
2022-10-09-9:54,54.11
2022-10-09-10:9,43.1
2022-10-09-10:24,43.06
2022-10-09-10:39,51.5
2022-10-09-10:54,40.39
2022-10-09-11:9,44.22
2022-10-09-11:24,46.42
2022-10-09-11:39,46.18
2022-10-09-11:55,52.33
2022-10-09-12:10,44.8
2022-10-09-12:25,45.4
2022-10-09-12:40,52.36
2022-10-09-12:55,53.3
2022-10-09-13:10,43.73
2022-10-09-13:25,47.01
2022-10-09-13:40,50.04
2022-10-09-13:55,52.64
2022-10-09-14:10,48.22
2022-10-09-14:25,48.06
2022-10-09-14:40,53.59
2022-10-09-14:55,50.29
2022-10-09-15:10,43.92
2022-10-09-15:25,42.31
2022-10-09-15:40,42.64
2022-10-09-15:55,48.56
2022-10-09-16:10,50.05
2022-10-09-16:25,49.75
2022-10-09-16:40,40.95
2022-10-09-16:55,48.7
2022-10-09-17:10,40.37
2022-10-09-17:25,51.16
2022-10-09-17:41,42.13
2022-10-09-17:56,42.32
2022-10-09-18:11,49.8
2022-10-09-18:26,40.2
2022-10-09-18:41,42.8
2022-10-09-18:56,47.94
2022-10-09-19:11,47.86
2022-10-09-19:26,40.09
2022-10-09-19:41,41.17
2022-10-09-19:56,48.84
2022-10-09-20:11,46.67
2022-10-09-20:26,44.25
2022-10-09-20:41,51.04
2022-10-09-20:56,48.29
2022-10-09-21:11,50.53
2022-10-09-21:27,42.82
2022-10-09-21:42,47.29
2022-10-09-21:57,45.4
2022-10-09-22:12,51.48
2022-10-09-22:27,54.78
2022-10-09-22:42,42.45
2022-10-09-22:57,44.94
2022-10-09-23:12,40.43
2022-10-09-23:27,45.7
2022-10-09-23:42,42.08
2022-10-09-23:57,47.45
2022-10-10-0:7,50.68
2022-10-10-0:22,43.74
2022-10-10-0:37,45.98
2022-10-10-0:52,44.5
2022-10-10-1:7,44.0
2022-10-10-1:22,51.53
2022-10-10-1:37,51.27
2022-10-10-1:53,49.78
2022-10-10-2:8,43.75
2022-10-10-2:23,48.54
2022-10-10-2:38,51.7
2022-10-10-2:53,42.48
2022-10-10-3:8,42.34
2022-10-10-3:23,54.08
2022-10-10-3:38,46.36
2022-10-10-3:53,43.17
2022-10-10-4:8,46.55
2022-10-10-4:23,40.46
2022-10-10-4:38,41.41
2022-10-10-4:53,54.05
2022-10-10-5:8,50.43
2022-10-10-5:23,40.15
2022-10-10-5:38,41.05
2022-10-10-5:53,41.74
2022-10-10-6:8,43.57
2022-10-10-6:23,49.05
2022-10-10-6:38,42.71
2022-10-10-6:53,44.8
2022-10-10-7:8,54.5
2022-10-10-7:24,47.01
2022-10-10-7:39,49.1
2022-10-10-7:54,48.21
2022-10-10-8:9,42.86
2022-10-10-8:24,47.58
2022-10-10-8:39,40.15
2022-10-10-8:54,47.86
2022-10-10-9:9,41.31
2022-10-10-9:24,49.23
2022-10-10-9:39,47.81
2022-10-10-9:54,45.1
2022-10-10-10:9,45.01
2022-10-10-10:24,50.43
2022-10-10-10:39,40.15
2022-10-10-10:54,42.64
2022-10-10-11:9,50.27
2022-10-10-11:24,52.41
2022-10-10-11:39,54.46
2022-10-10-11:55,46.68
2022-10-10-12:10,40.74
2022-10-10-12:25,42.3
2022-10-10-12:40,52.62
2022-10-10-12:55,42.36
2022-10-10-13:10,52.72
2022-10-10-13:25,45.7
2022-10-10-13:40,44.07
2022-10-10-13:55,54.18
2022-10-10-14:10,47.57
2022-10-10-14:25,43.68
2022-10-10-14:40,51.97
2022-10-10-14:55,42.03
2022-10-10-15:10,49.76
2022-10-10-15:25,43.92
2022-10-10-15:40,48.26
2022-10-10-15:55,50.19
2022-10-10-16:10,48.6
2022-10-10-16:25,44.13
2022-10-10-16:40,40.04
2022-10-10-16:55,52.02
